,x,y
0,so there is no way for me to plug it in here in the us unless i go by a converter.,0
1,"good case, excellent value.",1
2,great for the jawbone.,1
3,tied to charger for conversations lasting more than 45 minutes.major problems!!,0
4,the mic is great.,1
5,i have to jiggle the plug to get it to line up right to get decent volume.,0
6,"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
7,if you are razr owner...you must have this!,1
8,"needless to say, i wasted my money.",0
9,what a waste of money and time!.,0
10,and the sound quality is great.,1
11,he was very impressed when going from the original battery to the extended battery.,1
12,if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0
13,very good quality though,1
14,"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0
15,highly recommend for any one who has a blue tooth phone.,1
16,i advise everyone do not be fooled!,0
17,so far so good!.,1
18,works great!.,1
19,it clicks into place in a way that makes you wonder how long that mechanism would last.,0
20,"i went on motorola's website and followed all directions, but could not get it to pair again.",0
21,i bought this to use with my kindle fire and absolutely loved it!,1
22,the commercials are the most misleading.,0
23,i have yet to run this new battery below two bars and that's three days without charging.,1
24,i bought it for my mother and she had a problem with the battery.,0
25,great pocket pc / phone combination.,1
26,i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1
27,i didn't think that the instructions provided were helpful to me.,0
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0
29,doesn't hold charge.,0
30,"this is a simple little phone to use, but the breakage is unacceptible.",0
31,this product is ideal for people like me whose ears are very sensitive.,1
32,it is unusable in a moving car at freeway speed.,0
33,i have two more years left in this contract and i hate this phone.,0
34,car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1
35,you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0
36,it has kept up very well.,1
37,poor talk time performance.,0
38,the case is great and works fine with the 680.,1
39,worthless product.,0
40,"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1
41,i was not impressed by this product.,0
42,nice headset priced right.,1
43,i only hear garbage for audio.,0
44,excellent bluetooth headset.,1
45,it has all the features i want,1
46,who in their right mind is gonna buy this battery?.,0
47,after arguing with verizon regarding the dropped calls we returned the phones after two days.,0
48,this case seems well made.,1
49,disappointed with battery.,0
50,not loud enough and doesn't turn on like it should.,0
51,good protection and does not make phone too bulky.,1
52,a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1
53,this phone is pretty sturdy and i've never had any large problems with it.,1
54,i love this thing!,1
55,everything about it is fine and reasonable for the price i.e.,1
56,very disappointed.,0
57,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
58,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1
59,the buttons for on and off are bad.,0
60,essentially you can forget microsoft's tech support.,0
61,"i really recommend this faceplates since it looks very nice, elegant and cool.",1
62,these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,1
63,buy a different phone - but not this.,0
64,you have to hold the phone at a particular angle for the other party to hear you clearly.,0
65,the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
66,"a week later after i activated it, it suddenly died.",0
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1
68,great for ipods too.,1
69,this device is great in several situations:1.),1
70,mic doesn't work.,0
71,"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0
72,great choice!,1
73,nice docking station for home or work.,1
74,this is a beautiful phone.,1
75,love this product.,1
76,do not buy for d807...wrongly advertised for d807.,0
77,this is a great little item.,1
78,"i love this phone , it is very handy and has a lot of features .",1
79,i purchased this and within 2 days it was no longer working!!!!!!!!!,0
80,i wear it everyday and it holds up very well.,1
81,not a good bargain.,0
82,"well packaged, arrived on time, and works as intended.",1
83,the battery runs down quickly.,0
84,"this item worked great, but it broke after 6 months of use.",0
85,the headsets are easy to use and everyone loves them.,1
86,this phone works great.,1
87,the construction of the headsets is poor.,0
88,product was excellent and works better than the verizon one and boy was it cheaper!,1
89,the phone loads super!,1
90,"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0
91,made very sturdy.,1
92,worked great!.,1
93,the ear buds only play music in one ear.,0
94,dont waste your money...,0
95,will order from them again!,1
96,if you plan to use this in a car forget about it.,0
97,i found this product to be waaay too big.,0
98,best i've found so far .... i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
99,i'm very disappointed with my decision.,0
100,integrated seamlessly with the motorola razr phone.,1
101,"buyer beware, you could flush money right down the toilet.",0
102,definitely a bargain.,1
103,the price was very good and with the free shipping and all it was a good purchase.,1
104,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
105,"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",1
106,"that's a huge design flaw (unless i'm not using it correctly, which i don't think is the case).",0
107,"i love my 350 headset.. my jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
108,"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
109,i purcashed this for the car charger and it does not work.,0
110,"sound quality on both end is excellent, i use headset to call my wife and ask my wife to use headset to call me !2.",1
111,this phone is slim and light and the display is beautiful.,1
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
113,"great product, fast shipping!.",1
114,absolutely great.,1
115,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad.,1
116,i got this phone around the end of may and i'm completely unhappy with it.,0
117,it is very comfortable on the ear.,1
118,it has been a winner for us.,1
119,)setup couldn't have been simpler.,1
120,i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1
121,could not get strong enough signal.,0
122,iam very pleased with my purchase.,1
123,bad quality.,0
124,gets the job done.,1
125,great audio!.,1
126,basically the service was very bad.,0
127,it did not work in my cell phone plug i am very up set with the charger!.,0
128,"i've only had my bluetooth for a few weeks, but i really like it.",1
129,the bt headset was such a disapoinment.,0
130,it is so small and you don't even realize that it is there after a while of getting used to it.,1
131,the accompanied software is almost brilliant.,1
132,headset works great & was packaged nicely to avoid any damage.,1
133,!i definitly recommend!!,1
134,buyer--be very careful!!!!!.,0
135,the majority of the logitech earbud headsets failed.,0
136,very good stuff for the price.,1
137,my headset works just peachy-keen.,1
138,in my house i was getting dropped coverage upstairs and no coverage in my basement.,0
139,voice recognition is tremendous!,1
140,what a waste.,0
141,"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",0
142,i was not happy with this item.,0
143,very disappointed.,0
144,the phone takes forever to charge like 2 to 5 hours literally.,0
145,i got this phone on reccomendation from a relative and i'm glad i did.,1
146,what a waste of time!,0
147,its reception is very very poor.,0
148,items stated as included from the description are not included.,0
149,"after 3 months, screen just went black all of a sudden.",0
150,i was hoping for more.,0
151,"audio quality is poor, very poor.",0
152,i had absolutely no problem with this headset linking to my 8530 blackberry curve!,1
153,"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",1
154,i've bought $5 wired headphones that sound better than these.,0
155,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
156,"nice quality build, unlike some cheap s*** out there.",1
157,this item is fantastic and works perfectly!,1
158,and i just love the colors!,1
159,w810i is just superb.,1
160,"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",0
161,great charger.,1
162,this is essentially a communications tool that does not communicate.,0
163,works like a charm; it work the same as the one i got with the phone.,1
164,"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",0
165,great value.,1
166,doesn't work at all.. i bougth it for my l7c and its not working.,0
167,"the look of it is very sharp and the screen is nice and clear, with great graphics.",1
168,doesn't last long.,0
169,one thing i hate is the mode set button at the side.,0
170,excellent service!!!!!!!!.,1
171,thank you for wasting my money.,0
172,how can that be?the audio quality is poor.,0
173,the igo chargers and tips are really great.,1
174,the file browser offers all the options that one needs.handsfree is great.,1
175,superb phone on a great network.,1
176,"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
177,"i put the latest os on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
178,it only recognizes the phone as its storage device.,0
179,"if you like a loud buzzing to override all your conversations, then this phone is for you!",0
180,don't buy this product.,0
181,i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
182,the sound quality is good and functionality is awesome.,1
183,"i have this phone and it is a thorn in my side, i really abhor it.",0
184,i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0
185,incredible!.,1
186,design flaw?.,0
187,great phone!.,1
188,waste of 13 bucks.,0
189,"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",0
190,the replacement died in a few weeks.,0
191,any ring tone..overall good phone to buy..,1
192,lately they have been extremely nice and helpful on the phone.,1
193,i have had problems wit hit dropping signal and more.,0
194,not impressed.,0
195,"light weight, i hardly notice it is there.",1
196,you'll love how thin it is.,1
197,bad choice.,0
198,the pleather case doesn't fit.,0
199,"useless phone, simply deaf.",0
200,"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",1
201,all in all i think it was a good investment.,1
202,it makes very strange ticking noises before it ends the call.,0
203,the best electronics of the available fm transmitters.,1
204,battery lasts only a few hours.,0
205,"great headset, very impressed - h500.",1
206,"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
207,i've had this for nearly 2 years and it has worked great for me.,1
208,good transmit audio.,1
209,we are sending it back.,0
210,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0
211,"if you hate earbugs, avoid this phone by all means.",0
212,great price also!,1
213,"the range is very decent, i've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
214,fast service.,1
215,i would highly recommend this.,1
216,i would recommend this.,1
217,"i also didn't like the ""on"" button, it felt like it would crack with use.",0
218,worst phone ever.,0
219,i'm still infatuated with this phone.,1
220,freezes frequently4.,0
221,it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
222,"simple, lightweight and great fit.",1
223,"all in all, i'd expected a better consumer experience from motorola.",0
224,there's a horrible tick sound in the background on all my calls that i have never experienced before.,0
225,these are certainly very comfortable and functionality is decent.,1
226,i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
227,i'm a bit disappointed.,0
228,"i have had this phone for over a year now, and i will tell you, its not that great.",0
229,i ordered this for sony ericsson w810i but i think it only worked once (thats when i first used it).,0
230,the battery is completely useless to me.,0
231,what a big waste of time.,0
232,don't waste your $$$ on this one.,0
233,great sound and service.,1
234,really pleased with this product so far.,1
235,one of my favorite purchases ever.,1
236,best bluetooth on the market.,1
237,authentic leather with nice shine and comfort .i recommend you this case !!,1
238,i was very excited to get this headset because i thought it was really cute.,1
239,do not make the same mistake as me.,0
240,big disappointment with calendar sync.,0
241,the phone was unusable and was not new.,0
242,worst customer service ever.,0
243,"no additional ear gels provided, and no instructions whatsoever.",0
244,it defeats the purpose of a bluetooth headset.,0
245,worth every penny.,1
246,excellent wallet type phone case.,1
247,nice headphones for the price and they work great!,1
248,internet is excrutiatingly slow.,0
249,"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
250,"it's fits like a glove and is strong, secure, and durable.",1
251,o my gosh the best phone i have ever had.,1
252,it's very attractive and appears to be of good quality.,1
253,i love all the features and form factor.,1
254,this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
255,poor quality and service.,0
256,"the cable looks so thin and flimsy, it is scary.",0
257,great earpiece.,1
258,excellent hands free tool.,1
259,great for using with your home stereo.,1
260,good product - incredible value.,1
261,only had this a month but it's worked flawlessly so far.,1
262,works great.,1
263,absolutel junk.,0
264,that one didn't work either.,0
265,battery life is real good.,1
266,returned 8 hours later.,0
267,it's a great item.,1
268,don't waste your money!.,0
269,love this headset!,1
270,"not only will it drain your player, but may also potentially fry it.",0
271,worked perfectly!,1
272,unreliable - i'm giving up.,0
273,i gave it 5 stars because of the sound quality.,1
274,avoid this one if you can.,0
275,reversible plug works great.,1
276,i wasted my little money with this earpiece.,0
277,very good phone.,1
278,"best of all is the rotating feature, very helpful.",1
279,comfort for our whole family.,1
280,"good product, good seller.",1
281,i love this bluetooth!,1
282,"first of all, it doesn't wear well.",0
283,i am very impressed with this headset from plantronics.,1
284,i got it because it was so small and adorable.,1
285,great phone!.,1
286,i wouldn't recommend buying this product.,0
287,piece of junk.,0
288,poorly contstruct hinge.,0
289,"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
290,great phone.,1
291,don't buy it.,0
292,excellent phone.,1
293,do not purchase this phone.,0
294,the voice recognition thru the handset is excellent.,1
295,this is hands down the best phone i've ever had.,1
296,"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
297,this one works and was priced right.,1
298,customer service was terrible.,0
299,battery life still not long enough in motorola razor v3i.,0
300,sending it back.,0
301,now i know that i made a wise decision.,1
302,someone shouldve invented this sooner.,1
303,good price.,1
304,everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1
305,i received it quickly and it works great!!,1
306,has been working great.,1
307,"as many people complained, i found this headset's microphone was very weak.",0
308,my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,0
309,they do not care about the consumer one bit.,0
310,"this is a good battery, and it got here really fast.",1
311,the instruction manual is lacking.,0
312,also its slim enough to fit into my alarm clock docking station without removing the case.,1
313,phone now holds charge like it did when it was new.,1
314,the battery is unreliable as well as the service use antena.,0
315,it's uncomfortable and the sound quality is quite poor compared with the phone (razr) or with my previous wired headset (that plugged into an lg).,0
316,we have gotten a lot of compliments on it.,1
317,this is definitely a must have if your state does not allow cell phone usage while driving.,1
318,i want my money back.,0
319,i love this device.,1
320,i am also very happy with the price.,1
321,i ordered this product first and was unhappy with it immediately.,0
322,the ngage is still lacking in earbuds.,0
323,i was able to do voice dialing in the car with no problem.,1
324,"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0
325,"good item, low price.",1
326,"however-the riingtones are not the best, and neither are the games.",0
327,the plug did not work very well.,0
328,amazon sucks.,0
329,rip off---- over charge shipping.,0
330,very comfortable.,1
331,the battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
332,the reception is excellent!,1
333,"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
334,"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
336,obviously there is a problem with the adhesive.,0
337,very disappointing.,0
338,"it was an inexpensive piece, but i would still have expected better quality.",0
339,it is practically useless and did not add any kind of boost to my reception after i bought it.,0
340,excellent sound quality.,1
341,was not happy.,0
342,a piece of junk that broke after being on my phone for 2 days!!!,0
343,new battery works great in phone.,1
344,worst customer service.,0
345,"i've dropped my phone more times than i can say, even on concrete and my phone is still great (knock on wood!).",1
346,reception is terrible and full of static.,0
347,good audio quality.,1
348,this little device has transformed my organizational capability and made my life a whole lot easier.,1
349,"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
350,were jerks on the phone.,0
351,works like a charm.. works as advertised.,1
352,"comfortable, nice range, good battery life.",1
353,their network coverage in los angeles is horrible.,0
354,excellent starter wireless headset.,0
355,"the loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
356,the only thing that i think could improve is the sound leaks out from the headset.,0
357,"first off the reception sucks, i have never had more than 2 bars, ever.",0
358,the phone gets extremely hot!,0
359,"the microphone also works well, but (according to people i have called) it applifies everything.",1
360,nice design and quality.,1
361,"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
362,"it is light, easy to use, and has very clear reception and transmission.",1
363,"bad fit, way too big.",0
364,it definitely was not as good as my s11.,1
365,awesome device.,1
366,waste of money.,0
367,"i had ordered a motorola data cable, got a very well finished and working product.",1
368,love this phone.,1
369,i was looking for this headset for a long time and now that i've got it i couldn't be happier.,1
370,"i'll be drivng along, and my headset starts ringing for no reason.",0
371,display is excellent and camera is as good as any from that year.,1
372,battery life is also great!,1
373,the worst phone i've ever had.... only had it for a few months.,0
374,not a good item.. it worked for a while then started having problems in my auto reverse tape player.,0
375,this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0
376,protects the phone on all sides.,1
377,this is a very average phone with bad battery life that operates on a weak network.,0
378,"clear skype calls, long battery life, long range.",1
379,soyo technology sucks.,0
380,great hands free device.,1
381,"you can even take self portraits with the outside (exterior) display, very cool.",1
382,same problem as others have mentioned.,0
383,after trying many many handsfree gadgets this is the one that finally works well.,1
384,magical help.,1
385,the worst piece of crap ever along with the verizon customer service.,0
386,poor sound quality.,0
387,the best phone in market :).,1
388,it worked very well.,1
389,the company shipped my product very promptly and it works well.,1
390,exactly what i wanted.,1
391,the picture resolution is far below what other comparably-priced phones are offering today.,0
392,this is a great deal.,1
393,"excellent product, i am very satisfied with the purchase.",1
394,i highly recommend these and encourage people to give them a try.,1
395,better than you'd expect.,1
396,"using all earpieces, left or right, this thing will not stay on my ear.",0
397,great product and price.,1
398,"sounds good reasonably priced and effective, its that simple !",1
399,still waiting...... i'm sure this item would work well.. if i ever recieve it!,0
400,what a disappointment,0
401,very prompt service.,1
402,excellent product for the price.,1
403,very pleased with this headset.,1
404,don't waste your money and time.,0
405,i especially love the long battery life.,1
406,"it's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
407,works great.,1
408,plantronics bluetooth excelent buy.,1
409,i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,0
410,i'll be looking for a new earpiece.,0
411,i highly recommend this device to everyone!,1
412,jawbone era is awesome too!,1
413,we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0
414,after a year the battery went completely dead on my headset.,0
415,"i have used several phone in two years, but this one is the best.",1
416,an awesome new look for fall 2000!.,1
417,this is the first phone i've had that has been so cheaply made.,0
418,"att is not clear, sound is very distorted and you have to yell when you talk.",0
419,the plastic breaks really easy on this clip.,0
420,price is good too.,1
421,don't make the same mistake i did.,0
422,oh and i forgot to also mention the weird color effect it has on your phone.,0
423,i'm using it with an iriver spinn (with case) and it fits fine.,1
424,also the area where my unit broke).- i'm not too fond of the magnetic strap.,0
425,"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
426,"every thing on phone work perfectly, she like it.",1
427,"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
428,it's really easy.,1
429,my sanyo has survived dozens of drops on blacktop without ill effect.,1
430,fantastic earphones.,1
431,it finds my cell phone right away when i enter the car.,1
432,low quality.,0
433,i highly recommend this modest priced cellular phone.,1
434,but it does get better reception and clarity than any phone i've had before.,1
435,warning - stay away.,0
436,i wish i could return the unit and get back my money.,0
437,awsome device works great!!.,1
438,i used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
439,"if you don't find it, too bad, as again the unit comes with one earpad only.i would not recommend this to anyone.",0
440,very displeased.,0
441,"i might have gotten a defect, but i would not risk buying it again because of the built quality alone.",0
442,they made this case too small and is very difficult to install.,0
443,restored my phone to like new performance.,1
444,"i would recommend purchasing the jabra jx-10 series 2 which works flawlessly with my moto q, go figure.",1
445,"i searched the internet, and found this one to be the best value.",1
446,does not fit.,0
447,very happy with this product.,1
448,"the screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
449,there's really nothing bad i can say about this headset.,0
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
451,portable and it works.,1
452,"my colleague & i now get great reception.a little expensive, but performance is great.",1
453,i even fully charged it before i went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
454,i've also had problems with the phone reading the memory card in which i always turn it on and then off again.,0
455,not good when wearing a hat or sunglasses.,0
456,timely shipment and quality product.,1
457,nice solid keyboard.,1
458,very well made and fits my surefire gx2 perfectly.,1
459,horrible phone.,0
460,bt50 battery junk!.,0
461,we would recommend these to others.,1
462,cant get the software to work with my computer.,0
463,disappointed!.,0
464,poor voice clarity.,0
465,the battery works great!,1
466,no buyers remorse on this one!.,0
467,very disappointed in accessoryone.,0
468,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
469,"looks great and is strong.""",1
470,"i have had tmobile service for 2 or 3 years now, and i am pretty happy with it.",1
471,the update procedure is difficult and cumbersome.,0
472,disappointment.. i hate anything that goes in my ear.,0
473,great software for motorolas.,1
474,the delivery was on time.,1
475,very easy to use.,1
476,"uncomfortable in the ear, don't use with lg vx9900 (env).",0
477,the volume switch rocketed out of the unit to a destination unknown.,0
478,"it holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
479,i'd like to return it.,0
480,the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems.,1
481,"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
482,"after charging overnight, these batteries work great.",1
483,you won't regret it!,1
484,i love this phone!.,1
485,a disappointment.,0
486,its not user friendly.,0
487,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
488,"then i exchanged for the same phone, even that had the same problem.",0
489,this results in the phone being either stuck at max volume or mute.,0
490,this pda rocks.,1
491,"it is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
492,"i would definitely recommend the jabra bt250v for those who are looking for comfort, clarity and a great price!",1
493,i had verizon 2 years ago and really liked their service.,1
494,pretty piece of junk.,0
495,plug was the wrong size.,0
496,works as described.,1
497,save your money.... i've had this item for 11 months now.,0
498,bad purchase.,0
499,well im satisfied.,1
500,"the bose noise cancelling is amazing, which is very important for a nyc commuter.",1
501,this battery is an excellent bargain!,1
502,defective crap.,0
503,i would have given no star if i was able.,0
504,i wear glasses and it fits fine with them.,1
505,"the sound quality for the device is unacceptable.unless you are in a really quiet area, you almost hear nothing.",0
506,i would not recommend this item to anyone.,0
507,the holster that arrived did not match the photo in the ad.,0
508,great...no problems at all!.,1
509,"as an earlier review noted, plug in this charger and nothing happens.",0
510,this frog phone charm is adorable and very eye catching.,1
511,you never know if you pushed it hard enough or the right number of times for the function you want or not.,0
512,the sound is clear and the people i talk to on it are amazed at the quality too.,1
513,i got the aluminum case for my new palm vx and it worked really well--it has protected my handheld perfectly so far.,1
514,"very good product, well made.",1
515,mobile phone tools are a must have.,1
516,i am very impressed with the job that motorola did on the sturdiness of this phone.,1
517,"i received my orders well within the shipping timeframe, everything was in good working order and overall, i am very excited to have this source.",1
518,the phone is sturdy and waterproof.,1
519,i am not impressed with this and i would not recommend this item to anyone.,0
